open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1708750800,50953.96,51062.0,50922.0,51047.36,589.47885,1708754399,30070617.257373,30466,353.90873,18053944.2668935,0
1708754400,51047.36,51060.0,50944.19,50969.81,604.17619,1708757999,30811790.5422566,29515,256.59386,13085729.5888898,0
1708758000,50969.8,51103.87,50938.78,51068.7,723.74155,1708761599,36924831.6855627,37099,337.00163,17194570.7242884,0
1708761600,51068.7,51118.09,50953.0,50994.92,596.23664,1708765199,30430802.7220176,36356,318.76872,16269904.0341183,0
1708765200,50994.92,51119.99,50986.82,51091.1,519.32455,1708768799,26518731.6920263,30072,291.17872,14869111.9725919,0
1708768800,51091.1,51172.06,51074.28,51090.01,627.5303,1708772399,32077470.5395833,35429,310.16621,15854742.1293985,0
1708772400,51090.01,51135.04,51034.39,51119.79,707.23643,1708775999,36133943.2845785,32821,327.06527,16711341.1615821,0
1708776000,51119.79,51126.01,51032.34,51076.55,459.63346,1708779599,23477898.2717595,29320,224.11595,11447145.6508887,0
1708779600,51076.55,51180.41,51055.0,51140.0,586.36686,1708783199,29974815.3653118,33873,331.19174,16929305.146859,0
1708783200,51140.0,51161.1,51072.65,51139.3,502.39947,1708786799,25678565.9402252,31108,248.56935,12704806.5171651,0
1708786800,51139.31,51150.04,51099.34,51099.34,442.04811,1708790399,22604122.7678622,28934,207.53708,10612215.6515437,0
1708790400,51099.35,51215.04,51094.99,51215.04,543.12787,1708793999,27788433.664426,33198,278.76567,14263020.2815172,0
1708794000,51215.03,51698.0,51215.03,51533.99,2114.43892,1708797599,108870026.2852027,81550,1192.39418,61394937.1110494,0
1708797600,51533.99,51694.16,51407.07,51434.96,1331.65362,1708801199,68661195.3235917,47467,669.22457,34507661.6322371,0
1708801200,51434.97,51638.92,51434.96,51557.07,645.16611,1708804799,33251291.3289279,38437,319.03527,16441967.8022951,0
1708804800,51557.08,51585.94,51437.84,51511.54,608.69189,1708808399,31358592.9523438,29068,239.13071,12317541.7293767,0
1708808400,51511.54,51638.9,51468.24,51562.32,655.49261,1708811999,33772974.3590011,35986,381.28168,19643513.2003973,0
1708812000,51562.32,51666.0,51556.6,51556.61,511.93592,1708815599,26425593.4276273,27353,240.06511,12391204.3128113,0
1708815600,51556.6,51651.1,51497.57,51568.22,509.34328,1708819199,26272499.6946326,33183,283.2005,14607492.3295747,0
1708819200,51568.21,51581.1,51442.31,51486.86,490.41291,1708822799,25255312.4298256,28753,230.51591,11870949.7175453,0
1708822800,51486.85,51687.8,51438.88,51684.01,758.60335,1708826399,39117019.4679066,34550,461.30085,23788868.8196885,0
1708826400,51684.01,51898.72,51550.01,51602.05,1537.29766,1708829999,79549756.8460174,63992,819.33532,42399140.005275,0
1708830000,51602.06,51628.42,51456.98,51624.99,815.40513,1708833599,42039985.2667309,34433,434.44099,22398381.6085831,0
1708833600,51625.0,51626.84,51509.0,51617.56,489.30627,1708837199,25236261.9894875,27943,242.66321,12515146.8513536,0
1708837200,51617.56,51726.23,51594.0,51669.32,539.24031,1708840799,27848709.3778499,29047,296.17255,15295516.6178204,0
1708840800,51669.33,51800.03,51630.31,51756.88,814.56168,1708844399,42135398.5613124,33187,373.63457,19326203.2824612,0
1708844400,51756.88,51774.21,51681.46,51719.28,464.24459,1708847999,24015015.414986,30918,225.46646,11662772.9624704,0
1708848000,51719.28,51777.64,51582.81,51606.36,549.61285,1708851599,28409167.5964564,29505,255.33422,13196285.008524,0
1708851600,51606.35,51650.0,51531.73,51639.51,534.85316,1708855199,27596653.4502593,30408,243.89736,12583789.1978512,0
1708855200,51639.51,51679.99,51556.67,51576.01,482.76694,1708858799,24921570.4631035,28889,241.4274,12463388.7763605,0
1708858800,51576.0,51700.01,51553.29,51645.0,430.95874,1708862399,22252596.6026706,30676,231.40927,11947929.2805815,0
1708862400,51645.0,51668.02,51585.36,51656.46,419.69797,1708865999,21665204.1971446,29196,215.84368,11141824.1871764,0
1708866000,51656.46,51693.59,51554.53,51612.92,580.57793,1708869599,29975585.5856445,31625,287.18299,14827143.7695794,0
1708869600,51612.93,51780.0,51600.0,51741.22,974.65689,1708873199,50393540.4726028,53488,549.18371,28397838.2729271,0
1708873200,51741.22,51759.73,51436.67,51524.02,1040.13411,1708876799,53677817.5799694,53527,498.37362,25716514.6275763,0
1708876800,51524.02,51626.0,51279.8,51378.48,1697.12356,1708880399,87287583.1804939,67209,796.34507,40957430.2133882,0
1708880400,51378.49,51578.44,51355.51,51559.97,602.51743,1708883999,31006648.3714852,31868,302.10847,15545135.4390058,0
1708884000,51559.97,51579.99,51498.83,51579.98,449.16565,1708887599,23153031.5461001,25221,233.62564,12042114.4663502,0
1708887600,51579.99,51738.85,51510.79,51672.96,1106.98198,1708891199,57173761.7400897,48954,619.14466,31979150.3043071,0
1708891200,51672.97,51958.55,51672.36,51735.8,1914.47478,1708894799,99240106.0140134,78532,979.53946,50775440.9402545,0
1708894800,51735.8,51780.0,51640.88,51766.84,709.78535,1708898399,36711475.2809451,37760,326.31139,16876984.8421833,0
1708898400,51766.83,51860.0,51655.76,51702.01,658.06329,1708901999,34078393.2188503,31926,337.33542,17468245.4840778,0
1708902000,51702.0,51803.26,51670.0,51728.85,661.18906,1708905599,34210519.7965178,32385,343.5845,17776328.0062981,0
1708905600,51728.85,51796.5,51621.06,51678.9,864.92638,1708909199,44729285.7691408,39158,383.37184,19824911.8831989,0
